Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,NLR,NUKZ,URA,URNM,NLR,NUKZ,URA,URNM,NLR,NUKZ,URA,URNM,NLR,NUKZ,URA,URNM,NLR,NUKZ,URA,URNM
Date,,,,,,,,,,,,,,,,,,,,
2026-05-18,127.52999877929688,68.41000366210938,48.68000030517578,58.75,130.75,69.9800033569336,50.369998931884766,60.79999923706055,126.08000183105469,67.5199966430664,48.040000915527344,58.13999938964844,130.75,69.9800033569336,50.04999923706055,60.33000183105469,518700,173400,3970400,683500
2026-05-19,125.05999755859375,67.12999725341797,47.20000076293945,57.08000183105469,126.72000122070312,67.87000274658203,48.11000061035156,58.77000045776367,123.58000183105469,66.37000274658203,46.560001373291016,56.689998626708984,126.58999633789062,67.63999938964844,47.959999084472656,58.77000045776367,483200,131900,3571000,977900
2026-05-20,127.83999633789062,68.79000091552734,48.040000915527344,57.43000030517578,128.47000122070312,69.0,48.47999954223633,58.220001220703125,125.25,67.41000366210938,47.0099983215332,56.810001373291016,126.52999877929688,67.88999938964844,47.529998779296875,57.720001220703125,484900,98500,3032400,344400
2026-05-21,129.9499969482422,69.8499984741211,48.86000061035156,58.08000183105469,131.33999633789062,70.11000061035156,49.43000030517578,58.849998474121094,126.5,68.5999984741211,47.68000030517578,56.810001373291016,127.9000015258789,68.72000122070312,47.939998626708984,57.52000045776367,508100,104100,3413000,887600
2026-05-22,130.85000610351562,70.76000213623047,48.959999084472656,58.220001220703125,132.5800018310547,71.5989990234375,49.91999816894531,59.25,130.4199981689453,70.33000183105469,48.7599983215332,57.904998779296875,130.75,70.33999633789062,49.470001220703125,58.75,351100,94900,2792300,461600
2026-05-26,134.61000061035156,73.12999725341797,50.86000061035156,60.880001068115234,135.66000366210938,73.4800033569336,51.08000183105469,60.9900016784668,133.14999389648438,72.19000244140625,50.11000061035156,59.38999938964844,133.38999938964844,72.19000244140625,50.47999954223633,59.619998931884766,539300,119200,4310400,3967600
2026-05-27,132.52000427246094,71.83000183105469,50.15999984741211,60.47999954223633,133.6999969482422,72.4800033569336,50.5099983215332,61.15999984741211,131.3800048828125,71.41000366210938,49.279998779296875,59.5,133.41000366210938,72.4800033569336,50.27000045776367,60.189998626708984,601200,140100,3497800,525000
2026-05-28,133.30999755859375,72.0999984741211,50.75,61.349998474121094,133.97000122070312,72.94999694824219,50.959999084472656,61.67499923706055,130.5,70.71099853515625,48.970001220703125,59.07699966430664,131.22999572753906,70.94000244140625,49.380001068115234,59.994998931884766,313800,87900,3681700,547400
2026-05-29,133.3000030517578,72.33000183105469,50.7599983215332,61.279998779296875,134.11000061035156,72.56999969482422,51.15999984741211,61.70000076293945,130.11000061035156,70.93199920654297,49.459999084472656,59.619998931884766,133.02000427246094,72.20999908447266,50.70000076293945,61.029998779296875,494600,134100,3907900,611900
2026-06-01,131.85000610351562,72.25,50.540000915527344,61.13999938964844,133.67999267578125,72.93000030517578,51.209999084472656,61.95000076293945,129.5,71.25,49.099998474121094,59.698001861572266,131.42999267578125,71.9800033569336,49.97999954223633,60.65999984741211,408500,99800,3283200,297100
